City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Sterling,US,2021-02-04 14:52:27,39.0062,-77.4286,36.0,40,20,12.66
167,Bo Rai,TH,2021-02-04 14:52:27,12.5728,102.5371,72.91,73,0,0.87
168,Vasai,IN,2021-02-04 14:52:27,19.47,72.8,78.8,57,0,5.75
169,Awbari,LY,2021-02-04 14:52:28,26.5921,12.7805,72.07,20,71,9.04
170,Clyde River,CA,2021-02-04 14:52:28,70.4692,-68.5914,-23.8,76,90,4.61
171,Zhuhai,CN,2021-02-04 14:52:28,22.2769,113.5678,70.0,82,0,6.91
172,Hobyo,SO,2021-02-04 14:52:28,5.3505,48.5268,77.05,76,8,17.69
173,Beringovskiy,RU,2021-02-04 14:51:01,63.05,179.3167,-1.88,92,100,22.48
174,Kaitong,CN,2021-02-04 14:52:29,44.8135,123.15,4.48,94,0,6.96
175,Thenzawl,IN,2021-02-04 14:52:29,23.3167,92.75,54.09,41,0,2.26
176,Bathsheba,BB,2021-02-04 14:52:29,13.2167,-59.5167,82.4,61,40,23.02
177,Tasiilaq,GL,2021-02-04 14:49:59,65.6145,-37.6368,26.6,74,40,16.11
178,Bartlett,US,2021-02-04 14:52:29,35.2045,-89.874,48.99,46,90,11.5
179,Norman Wells,CA,2021-02-04 14:50:21,65.282,-126.8329,-50.8,65,40,3.44
180,Turayf,SA,2021-02-04 14:51:28,31.6725,38.6637,51.8,100,75,18.41
181,Schwarzenbek,DE,2021-02-04 14:52:30,53.5,10.4833,36.0,92,93,10.69
182,Airai,TL,2021-02-04 14:52:30,-8.9266,125.4092,58.71,100,100,4.0
183,Vite,IN,2021-02-04 14:52:30,17.2833,74.55,75.7,27,2,3.02
184,Bandarbeyla,SO,2021-02-04 14:50:43,9.4942,50.8122,74.59,65,0,14.41
185,Sola,VU,2021-02-04 14:52:31,-13.8833,167.55,81.1,79,93,8.7
186,Nanortalik,GL,2021-02-04 14:50:17,60.1432,-45.2371,21.06,81,100,7.78
187,Bowen,AU,2021-02-04 14:52:31,-20.0167,148.2333,75.2,88,57,3.44
188,Tilichiki,RU,2021-02-04 14:52:31,60.4667,166.1,0.03,94,87,14.07
189,East London,ZA,2021-02-04 14:47:56,-33.0153,27.9116,73.4,83,75,9.22
190,Bongaree,AU,2021-02-04 14:52:31,-27.0797,153.1586,73.0,98,13,4.92
191,Malinovoye Ozero,RU,2021-02-04 14:52:32,51.6753,79.7825,26.15,98,100,5.23
192,Qaanaaq,GL,2021-02-04 14:49:59,77.484,-69.3632,-21.68,60,32,8.9
193,Krasnaya Gora,RU,2021-02-04 14:52:32,52.9995,31.6023,33.8,100,90,6.71
194,Saskylakh,RU,2021-02-04 14:50:00,71.9167,114.0833,-41.84,75,0,5.44
195,Santiago De Cao,PE,2021-02-04 14:52:32,-7.9589,-79.2392,68.0,94,20,9.22
196,Castro,BR,2021-02-04 14:52:32,-24.7911,-50.0119,81.03,66,44,9.55
197,Omsukchan,RU,2021-02-04 14:52:33,62.5333,155.8,-12.53,87,100,5.59
198,Camenca,MD,2021-02-04 14:52:33,48.0319,28.6978,39.0,92,95,11.83
199,Sibolga,ID,2021-02-04 14:52:33,1.7427,98.7792,78.53,84,100,3.27
200,Cap Malheureux,MU,2021-02-04 14:52:33,-19.9842,57.6142,82.0,74,0,5.01
201,Bubaque,GW,2021-02-04 14:52:33,11.2833,-15.8333,77.74,59,22,7.36
202,Pisco,PE,2021-02-04 14:52:33,-13.7,-76.2167,71.6,83,0,9.22
203,Louny,CZ,2021-02-04 14:52:34,50.357,13.7967,45.0,82,53,25.99
204,Nelson Bay,AU,2021-02-04 14:52:34,-32.7167,152.15,72.0,78,66,3.44
205,Arlit,NE,2021-02-04 14:52:34,18.7369,7.3853,85.17,12,71,4.29
206,Pangody,RU,2021-02-04 14:52:34,65.85,74.4859,-13.74,89,83,7.36
207,Mar Del Plata,AR,2021-02-04 14:52:34,-38.0023,-57.5575,73.4,46,0,11.5
208,Tessalit,ML,2021-02-04 14:52:34,20.1986,1.0114,89.33,10,0,11.43
209,Sao Filipe,CV,2021-02-04 14:52:35,14.8961,-24.4956,72.61,77,83,14.45
210,Port Hardy,CA,2021-02-04 14:52:35,50.6996,-127.4199,41.0,93,90,6.91
211,Road Town,VG,2021-02-04 14:52:35,18.4167,-64.6167,82.4,78,40,9.22
212,Milkovo,RU,2021-02-04 14:52:35,54.7167,158.6167,1.11,85,100,8.39
213,The Valley,AI,2021-02-04 14:50:33,18.217,-63.0578,82.4,78,40,16.11
214,Tukrah,LY,2021-02-04 14:52:36,32.5341,20.5791,61.97,70,0,7.94
215,Tyup,KG,2021-02-04 14:52:36,42.7276,78.3648,24.66,81,74,2.46
216,Hasaki,JP,2021-02-04 14:52:36,35.7333,140.8333,37.4,48,0,5.75
